rank,name,country,total_assets_bn,balance_sheet,address
41,National Australia Bank,Australia,722.389,09.30.2013,"800 Bourke Street, Docklands, Melbourne, Victoria, 3008, Australia"
74,U.S. Bancorp,USA,364.021,12.31.2013,"800 Nicollet Mall, Minneapolis, Minnesota, 55402, United States of America"
69,Landesbank Baden-Wurttemberg,Germany,377.737,12.31.2013,"Am Hauptbahnhof 2, Stuttgart, Baden-Württemberg, 70173, Germany"
26,ING Bank N.V.,Netherlands,"1,087.63",12.31.2013,"Amsterdamse Poort, Amsterdam, North Holland, 1102 MG, Netherlands"
47,Australia & New Zealand Banking Group,Australia,627.063,09.30.2013,"ANZ Centre, 833 Collins Street, Docklands, Melbourne, Victoria, 3008, Australia"
19,Banco Santander,Spain,"1,540.70",12.31.2013,"Av Cantabria Boadilla del Monte, Madrid, Community of Madrid, 28660, Spain"
25,UBS AG,Switzerland,"1,138.26",12.31.2013,"Bahnhofstrasse 45, Zürich, Canton of Zürich, 8001, Switzerland"
100,Belfius Bank,Belgium,252.416,12.31.2013,"Boulevard Pacheco 44, City of Brussels, Brussels, 1000, Belgium"
89,Swedbank,Sweden,284.013,12.31.2013,"Brunkebergstorg 8, Stockholm, , /m/04j8sbk, "
76,Banco Bradesco SA,Brazil,355.318,12.31.2013,"CIDADE DE DEUS S/N VILA YARA, Osasco, , 84030-900, "
